Washington Frame Post Build Video:


[{bl:1083.49,   br:2351.50,   tr:2529.79,   tl:1490.98},{bl:1137.89,   br:2367.90,   tr:2491.66,   tl:1438.30},{bl:1185.58,   br:2390.16,   tr:2461.90,   tl:1386.47},{bl:1234.81,   br:2415.11,   tr:2433.35,   tl:1335.43},{bl:1284.54,   br:2440.19,   tr:2406.05,   tl:1285.40},{bl:1336.37,   br:2468.19,   tr:2380.06,   tl:1236.46},{bl:1389.52,   br:2498.21,   tr:2355.41,   tl:1188.66},{bl:1442.69,   br:2527.64,   tr:2332.16,   tl:1142.30},{bl:1497.47,   br:2558.21,   tr:2310.33,   tl:1097.50},{bl:1561.75,   br:2422.60,   tr:2177.40,   tl:1219.40},{bl:1508.16,   br:2390.44,   tr:2203.34,   tl:1262.37},{bl:1458.58,   br:2359.47,   tr:2227.50,   tl:1305.46},{bl:1409.98,   br:2329.74,   tr:2253.65,   tl:1349.92},{bl:1362.48,   br:2301.30,   tr:2281.35,   tl:1394.96},{bl:1316.23,   br:2274.19,   tr:2309.45,   tl:1442.36},{bl:1271.25,   br:2248.46,   tr:2340.00,   tl:1490.63},{bl:1227.75,   br:2224.17,   tr:2372.32,   tl:1539.93},{bl:1185.99,   br:2201.36,   tr:2404.44,   tl:1590.10},{bl:1297.91,   br:2069.31,   tr:2282.66,   tl:1674.27},{bl:1339.89,   br:2107.29,   tr:2248.36,   tl:1608.87},{bl:1381.29,   br:2132.95,   tr:2215.33,   tl:1562.65},{bl:1423.66,   br:2160.31,   tr:2183.55,   tl:1517.59},{bl:1467.97,   br:2189.14,   tr:2153.09,   tl:1473.76},{bl:1512.25,   br:2220.24,   tr:2124.02,   tl:1431.20},{bl:1559.17,   br:2251.71,   tr:2096.35,   tl:1390.17},{bl:1606.82,   br:2284.57,   tr:2070.20,   tl:1350.75},{bl:1656.96,   br:2319.65,   tr:2045.58,   tl:1313.07},{bl:1739.66,   br:2186.59,   tr:1915.39,   tl:1446.44},{bl:1691.41,   br:2150.89,   tr:1945.28,   tl:1481.55},{bl:1647.38,   br:2116.42,   tr:1972.74,   tl:1518.53},{bl:1604.50,   br:2083.22,   tr:2002.06,   tl:1557.58},{bl:1562.97,   br:2051.36,   tr:2033.31,   tl:1595.88},{bl:1522.70,   br:2020.90,   tr:2065.92,   tl:1637.39},{bl:1484.10,   br:1991.91,   tr:2099.51,   tl:1679.79},{bl:1447.00,   br:1964.45,   tr:2135.44,   tl:1724.23},{bl:1411.69,   br:1938.57,   tr:2171.05,   tl:1769.54},{bl:1534.40,   br:1809.76,   tr:2053.86,   tl:1866.59},{bl:1567.41,   br:1853.31,   tr:2015.76,   tl:1808.11},{bl:1602.54,   br:1883.51,   tr:1978.82,   tl:1767.10},{bl:1638.94,   br:1913.49,   tr:1943.24,   tl:1727.39},{bl:1677.40,   br:1945.78,   tr:1908.93,   tl:1689.02},{bl:1717.41,   br:1980.47,   tr:1876.06,   tl:1652.00},{bl:1758.45,   br:2015.25,   tr:1844.70,   tl:1616.63},{bl:1801.45,   br:2052.07,   tr:1814.91,   tl:1582.86},{bl:1844.17,   br:2089.33,   tr:1786.83,   tl:1550.86},{bl:1942.98,   br:1963.37,   tr:1660.50,   tl:1689.22},{bl:1899.65,   br:1923.48,   tr:1694.98,   tl:1720.24},{bl:1860.53,   br:1884.85,   tr:1726.27,   tl:1751.87},{bl:1822.64,   br:1847.51,   tr:1761.16,   tl:1784.95},{bl:1786.15,   br:1811.53,   tr:1796.57,   tl:1820.10},{bl:1751.10,   br:1776.96,   tr:1833.35,   tl:1856.49},{bl:1717.53,   br:1743.97,   tr:1872.44,   tl:1894.28},{bl:1685.61,   br:1712.52,   tr:1911.54,   tl:1933.24},{bl:1655.44,   br:1682.82,   tr:1951.60,   tl:1972.92},{bl:1787.42,   br:1558.61,   tr:1840.55,   tl:2078.80},{bl:1810.81,   br:1606.15,   tr:1797.96,   tl:2027.67},{bl:1841.17,   br:1640.60,   tr:1756.45,   tl:1991.21},{bl:1873.65,   br:1676.71,   tr:1716.25,   tl:1956.03},{bl:1906.54,   br:1713.06,   tr:1677.33,   tl:1922.20},{bl:1941.59,   br:1751.72,   tr:1639.85,   tl:1889.81},{bl:1978.15,   br:1791.85,   tr:1603.84,   tl:1858.95},{bl:2015.85,   br:1833.83,   tr:1569.56,   tl:1829.61},{bl:2055.11,   br:1876.13,   tr:1536.91,   tl:1802.00},{bl:2164.07,   br:1757.64,   tr:1416.81,   tl:1946.19},{bl:2125.47,   br:1713.04,   tr:1458.11,   tl:1970.08},{bl:2090.56,   br:1669.60,   tr:1495.76,   tl:1996.79},{bl:2056.96,   br:1627.33,   tr:1534.58,   tl:2026.02},{bl:2024.66,   br:1586.38,   tr:1575.03,   tl:2057.29},{bl:1993.79,   br:1546.78,   tr:1616.63,   tl:2089.09},{bl:1964.41,   br:1508.75,   tr:1659.69,   tl:2122.59},{bl:1936.57,   br:1472.30,   tr:1703.80,   tl:2157.46},{bl:1910.30,   br:1437.58,   tr:1749.59,   tl:2194.52},{bl:2047.49,   br:1320.88,   tr:1648.76,   tl:2308.56},{bl:2063.78,   br:1375.59,   tr:1601.02,   tl:2261.65},{bl:2090.24,   br:1414.42,   tr:1554.32,   tl:2229.01},{bl:2118.14,   br:1455.24,   tr:1508.71,   tl:2197.64},{bl:2147.95,   br:1497.82,   tr:1464.30,   tl:2167.60},{bl:2179.43,   br:1542.10,   tr:1421.17,   tl:2138.91},{bl:2211.77,   br:1587.81,   tr:1379.50,   tl:2111.67},{bl:2245.96,   br:1634.07,   tr:1339.39,   tl:2085.93},{bl:2281.44,   br:1682.13,   tr:1301.00,   tl:2061.71},{bl:2400.29,   br:1576.56,   tr:1191.09,   tl:2208.40},{bl:2363.85,   br:1526.71,   tr:1239.83,   tl:2226.36},{bl:2332.53,   br:1477.74,   tr:1283.45,   tl:2251.50},{bl:2302.47,   br:1429.79,   tr:1328.61,   tl:2277.38},{bl:2273.67,   br:1383.00,   tr:1375.67,   tl:2304.10},{bl:2246.23,   br:1337.38,   tr:1423.08,   tl:2333.43},{bl:2220.18,   br:1293.14,   tr:1472.67,   tl:2362.98},{bl:2195.57,   br:1250.44,   tr:1522.79,   tl:2394.69},{bl:2172.46,   br:1209.40,   tr:1574.00,   tl:2427.53},{bl:2312.59,   br:1105.16,   tr:1486.77,   tl:2549.41},{bl:2322.57,   br:1167.05,   tr:1433.61,   tl:2505.98},{bl:2346.16,   br:1212.49,   tr:1381.23,   tl:2476.58},{bl:2371.38,   br:1259.75,   tr:1329.74,   tl:2448.39},{bl:2398.18,   br:1308.16,   tr:1279.11,   tl:2421.45},{bl:2425.82,   br:1358.42,   tr:1229.49,   tl:2395.80},{bl:2454.79,   br:1409.53,   tr:1181.14,   tl:2371.51},{bl:2485.87,   br:1461.29,   tr:1134.04,   tl:2348.62},{bl:2517.65,   br:1514.35,   tr:1088.42,   tl:2327.13},]

tl/x: -30.3
tl/y: 2072.3
tr/x: 2921.7
tr/y: 2072.2
bl/x: 0
bl/y: 0
br/x: 2951.5
br/y: 0
Fitness: 1.22
